,TSLA,AAPL,NVDA
2018-11-26,23.066667556762695,41.74214553833008,3.791921377182007
2018-11-27,22.92799949645996,41.65131759643555,3.8087685108184814
2018-11-28,23.191333770751953,43.25292205810547,3.965846061706543
2018-11-29,22.744667053222656,42.92064666748047,3.9026057720184326
2018-11-30,23.365333557128906,42.68876647949219,4.0531439781188965
2018-12-03,23.89933204650879,44.18041229248047,4.217075347900391
2018-12-04,23.979999542236328,42.23697280883789,3.89640474319458
2018-12-06,24.20400047302246,41.76604461669922,3.9256699085235596
2018-12-07,23.864667892456055,40.276790618896484,3.660799741744995
2018-12-10,24.343332290649414,40.54213333129883,3.766202211380005
2018-12-11,24.450666427612305,40.31026840209961,3.6751842498779297
2018-12-12,24.440000534057617,40.42262268066406,3.6927926540374756
2018-12-13,25.119333267211914,40.864845275878906,3.69254469871521
2018-12-14,24.380666732788086,39.557273864746094,3.6320319175720215
2018-12-17,23.22800064086914,39.18913650512695,3.560854434967041
2018-12-18,22.468666076660156,39.69830322265625,3.644184112548828
2018-12-19,22.197999954223633,38.46004104614258,3.435115337371826
2018-12-20,21.025333404541016,37.489532470703125,3.350546360015869
2018-12-21,21.31800079345703,36.03134536743164,3.2133994102478027
2018-12-24,19.69266700744629,35.099063873291016,3.151646375656128
2018-12-26,21.73933219909668,37.57080078125,3.300945520401001
2018-12-27,21.075332641601562,37.32697296142578,3.253080368041992
2018-12-28,22.257999420166016,37.34609603881836,3.3145859241485596
2018-12-31,22.18666648864746,37.70705795288086,3.3108654022216797
2019-01-02,20.674667358398438,37.75008010864258,3.3783230781555176
2019-01-03,20.02400016784668,33.98990249633789,3.1742143630981445
2019-01-04,21.179332733154297,35.440895080566406,3.377578020095825
2019-01-07,22.33066749572754,35.36201477050781,3.5563905239105225
2019-01-08,22.356666564941406,36.0361213684082,3.4678523540496826
2019-01-09,22.568666458129883,36.64808654785156,3.5360538959503174
2019-01-10,22.99799919128418,36.76521301269531,3.6017746925354004
2019-01-11,23.150667190551758,36.40425491333008,3.691056251525879
2019-01-14,22.293333053588867,35.85683822631836,3.7309861183166504
2019-01-15,22.961999893188477,36.59070587158203,3.7168500423431396
2019-01-16,23.06999969482422,37.03772735595703,3.691304922103882
2019-01-17,23.15399932861328,37.257652282714844,3.762730121612549
2019-01-18,20.150667190551758,37.48714065551758,3.8919405937194824
2019-01-22,19.92799949645996,36.64569091796875,3.6895689964294434
2019-01-23,19.172666549682617,36.793907165527344,3.702465295791626
2019-01-24,19.43400001525879,36.50226593017578,3.9145092964172363
2019-01-25,19.80266761779785,37.71183395385742,3.9717984199523926
2019-01-28,19.7586669921875,37.362831115722656,3.422715425491333
2019-01-29,19.83066749572754,36.9755744934082,3.263744354248047
2019-01-30,20.584667205810547,39.50227355957031,3.4073386192321777
2019-01-31,20.468000411987305,39.78675842285156,3.565070152282715
2019-02-01,20.81399917602539,39.80587387084961,3.5893752574920654
2019-02-04,20.859333038330078,40.93656539916992,3.699737071990967
2019-02-05,21.42333221435547,41.636966705322266,3.7188334465026855
2019-02-06,21.148000717163086,41.65131759643555,3.7944750785827637
2019-02-07,20.500667572021484,40.86245346069336,3.6560885906219482
2019-02-08,20.386667251586914,40.91047286987305,3.6746888160705566
2019-02-11,20.856000900268555,40.675193786621094,3.6320319175720215
2019-02-12,20.78733253479004,41.025699615478516,3.7490899562835693
2019-02-13,20.544666290283203,40.855262756347656,3.791499137878418
2019-02-14,20.251333236694336,41.00410079956055,3.8324198722839355
2019-02-15,20.525333404541016,40.912872314453125,3.902108907699585
2019-02-19,20.375999450683594,41.03530502319336,3.884748697280884
2019-02-20,20.17066764831543,41.29938888549805,3.932117223739624
2019-02-21,19.415332794189453,41.06652069091797,3.8631720542907715
2019-02-22,19.6473331451416,41.52505874633789,3.9479901790618896
2019-02-25,19.917999267578125,41.827545166015625,3.9355897903442383
2019-02-26,19.857332229614258,41.85154342651367,3.8961570262908936
2019-02-27,20.982667922973633,41.98118591308594,3.8542439937591553
2019-02-28,21.325332641601562,41.56826400756836,3.8296661376953125
2019-03-01,19.652666091918945,42.00519561767578,3.884036064147949
2019-03-04,19.02400016784668,42.21645736694336,3.892228603363037
2019-03-05,18.43600082397461,42.13963317871094,3.885773181915283
2019-03-06,18.416000366210938,41.89716720581055,3.7748007774353027
2019-03-07,18.439332962036133,41.41222381591797,3.7055366039276123
2019-03-08,18.94266700744629,41.510650634765625,3.7397964000701904
2019-03-11,19.39466667175293,42.94866943359375,4.000469207763672
2019-03-12,18.890666961669922,43.43121337890625,4.034730911254883
2019-03-13,19.263999938964844,43.62328338623047,4.186168670654297
2019-03-14,19.33066749572754,44.108219146728516,4.110200881958008
2019-03-15,18.36199951171875,44.68198013305664,4.215712070465088
2019-03-18,17.965999603271484,45.13811492919922,4.194361686706543
2019-03-19,17.83133316040039,44.7804069519043,4.362185955047607
2019-03-20,18.239999771118164,45.171730041503906,4.329662322998047
2019-03-21,18.26799964904785,46.835426330566406,4.566502094268799
2019-03-22,17.635332107543945,45.865535736083984,4.406623840332031
2019-03-25,17.3613338470459,45.31097412109375,4.314270973205566
2019-03-26,17.851333618164062,44.84282684326172,4.3909831047058105
2019-03-27,18.32200050354004,45.24614715576172,4.3817973136901855
2019-03-28,18.57466697692871,45.30617904663086,4.400417327880859
2019-03-29,18.657333374023438,45.6014518737793,4.457765102386475
2019-04-01,19.278667449951172,45.91115188598633,4.52529239654541
2019-04-02,19.058666229248047,46.57855224609375,4.543168067932129
2019-04-03,19.45400047302246,46.89783477783203,4.682690143585205
2019-04-04,17.851999282836914,46.97947692871094,4.673753261566162
2019-04-05,18.33066749572754,47.2939567565918,4.740533828735352
2019-04-08,18.213333129882812,48.038177490234375,4.761387825012207
2019-04-09,18.15399932861328,47.894134521484375,4.698578357696533
2019-04-10,18.40399932861328,48.16300964355469,4.769083023071289
2019-04-11,17.89466667175293,47.76210403442383,4.755181789398193
2019-04-12,17.84666633605957,47.74287414550781,4.717197895050049
2019-04-15,17.7586669921875,47.829315185546875,4.585371017456055
2019-04-16,18.224000930786133,47.8341178894043,4.672510623931885
2019-04-17,18.082000732421875,48.76559066772461,4.6496710777282715
2019-04-18,18.21733283996582,48.94084548950195,4.625092029571533
2019-04-22,17.516666412353516,49.10169219970703,4.678965091705322
2019-04-23,17.593332290649414,49.80990219116211,4.733582019805908
2019-04-24,17.243999481201172,49.73307800292969,4.745996475219727
2019-04-25,16.5086669921875,49.28173828125,4.640238285064697
2019-04-26,15.675999641418457,49.04646682739258,4.421271324157715
2019-04-29,16.097999572753906,49.12090301513672,4.45205545425415
2019-04-30,15.912667274475098,48.175018310546875,4.493515491485596
2019-05-01,15.600666999816895,50.53971862792969,4.480356693267822
2019-05-02,16.273332595825195,50.21080780029297,4.547885417938232
2019-05-03,17.00200080871582,50.83500289916992,4.5434160232543945
2019-05-06,17.022666931152344,50.04996871948242,4.464964866638184
2019-05-07,16.470666885375977,48.70077133178711,4.297637462615967
2019-05-08,16.32266616821289,48.71037292480469,4.317746162414551
2019-05-09,16.131999969482422,48.18701934814453,4.22514533996582
2019-05-10,15.968000411987305,47.51945877075195,4.191133499145508
2019-05-13,15.133999824523926,44.757652282714844,3.933687210083008
2019-05-14,15.487333297729492,45.4661750793457,4.022812843322754
2019-05-15,15.463333129882812,46.010826110839844,3.9617409706115723
2019-05-16,15.222000122070312,45.80839920043945,3.976884603500366
2019-05-17,14.0686674118042,45.548118591308594,3.886021614074707
2019-05-20,13.690667152404785,44.12383270263672,3.767353057861328
2019-05-21,13.67199993133545,44.96973419189453,3.849527359008789
2019-05-22,12.84866714477539,44.049137115478516,3.77852463722229
2019-05-23,13.03266716003418,43.297237396240234,3.6573734283447266
2019-05-24,12.708666801452637,43.13093185424805,3.603501319885254
2019-05-28,12.579999923706055,42.952606201171875,3.5583181381225586
2019-05-29,12.657333374023438,42.74775314331055,3.4840879440307617
2019-05-30,12.54800033569336,42.96946716308594,3.457493782043457
2019-05-31,12.343999862670898,42.1910514831543,3.3667750358581543
2019-06-03,11.9313325881958,41.764495849609375,3.325019598007202
2019-06-04,12.90666675567627,43.29240798950195,3.5541775226593018
2019-06-05,13.105999946594238,43.99129104614258,3.511428117752075
2019-06-06,13.729999542236328,44.63715744018555,3.573564052581787
2019-06-07,13.633333206176758,45.82526397705078,3.6163134574890137
2019-06-10,14.192000389099121,46.41088104248047,3.6891367435455322
2019-06-11,14.473333358764648,46.948299407958984,3.746798515319824
2019-06-12,13.950667381286621,46.798892974853516,3.633711099624634
2019-06-13,14.260666847229004,46.78924560546875,3.6849114894866943
2019-06-14,14.32800006866455,46.44944381713867,3.594938278198242
2019-06-17,15.001999855041504,46.72659683227539,3.6046314239501953
2019-06-18,14.982666969299316,47.825531005859375,3.7997381687164307
2019-06-19,15.095333099365234,47.68574905395508,3.80570387840271
2019-06-20,14.641332626342773,48.06895065307617,3.830061674118042
2019-06-21,14.790666580200195,47.905059814453125,3.7719013690948486
2019-06-24,14.909333229064941,47.85686111450195,3.7942705154418945
2019-06-25,14.650667190551758,47.131465911865234,3.7649426460266113
2019-06-26,14.618000030517578,48.15087890625,3.9583094120025635
2019-06-27,14.855999946594238,48.13641357421875,4.056981563568115
2019-06-28,14.897333145141602,47.69779586791992,4.081836223602295
2019-07-01,15.14466667175293,48.57261276245117,4.13005256652832
2019-07-02,14.970000267028809,48.85698318481445,4.0321269035339355
2019-07-03,15.65999984741211,49.26185989379883,4.045051097869873
2019-07-05,15.539999961853027,49.218467712402344,3.9824182987213135
2019-07-08,15.355999946594238,48.20389175415039,3.907358169555664
2019-07-09,15.337332725524902,48.497901916503906,3.909843683242798
2019-07-10,15.928000450134277,48.97747039794922,3.9781932830810547
2019-07-11,15.90666675567627,48.62080001831055,4.132786750793457
2019-07-12,16.338666915893555,48.99435806274414,4.165843963623047
2019-07-15,16.899999618530273,49.45466232299805,4.1573944091796875
2019-07-16,16.825332641601562,49.283546447753906,4.152670860290527
2019-07-17,16.99066734313965,49.00640106201172,4.218037128448486
2019-07-18,16.902666091918945,49.5631103515625,4.229719638824463
2019-07-19,17.211999893188477,48.8232536315918,4.1864728927612305
2019-07-22,17.045333862304688,49.939056396484375,4.258053779602051
2019-07-23,17.344667434692383,50.3294563293457,4.365921497344971
2019-07-24,17.658666610717773,50.28849411010742,4.440484046936035
2019-07-25,15.254667282104492,49.8908576965332,4.309253692626953
2019-07-26,15.202667236328125,50.06437301635742,4.351256370544434
2019-07-29,15.718000411987305,50.53190231323242,4.345043182373047
2019-07-30,16.150667190551758,50.31501007080078,4.3607025146484375
2019-07-31,16.107332229614258,51.34164047241211,4.193431377410889
2019-08-01,15.59000015258789,50.23065948486328,4.09898567199707
2019-08-02,15.62266731262207,49.16786575317383,4.006278991699219
2019-08-05,15.221332550048828,46.59404373168945,3.7477927207946777
2019-08-06,15.383333206176758,47.4760856628418,3.7865660190582275
2019-08-07,15.561332702636719,47.96771240234375,3.824841260910034
2019-08-08,15.886667251586914,49.02568054199219,3.933454990386963
2019-08-09,15.667332649230957,48.6216926574707,3.8320493698120117
2019-08-12,15.267333030700684,48.498321533203125,3.76419734954834
2019-08-13,15.666666984558105,50.5521354675293,3.8785271644592285
2019-08-14,14.641332626342773,49.047462463378906,3.7298977375030518
2019-08-15,14.37600040435791,48.80311965942383,3.697587490081787
2019-08-16,14.662667274475098,49.95462417602539,3.965765953063965
2019-08-19,15.121999740600586,50.88597869873047,4.244632244110107
2019-08-20,15.057332992553711,50.88840103149414,4.172305583953857
2019-08-21,14.722000122070312,51.43995666503906,4.255817413330078
2019-08-22,14.8100004196167,51.39642333984375,4.262030601501465
2019-08-23,14.09333324432373,49.020843505859375,4.037346839904785
2019-08-26,14.333333015441895,49.95219802856445,4.11215877532959
2019-08-27,14.272000312805176,49.3885612487793,4.021439075469971
2019-08-28,14.37266731262207,49.719966888427734,4.010990619659424
2019-08-29,14.780667304992676,50.56181335449219,4.154791355133057
2019-08-30,15.040666580200195,50.49651336669922,4.167479991912842
2019-09-03,15.000666618347168,49.7610969543457,4.084383487701416
2019-09-04,14.711999893188477,50.60536575317383,4.198577880859375
2019-09-05,15.305333137512207,51.594783782958984,4.471750736236572
2019-09-06,15.16333293914795,51.58994674682617,4.444631576538086
2019-09-09,15.452667236328125,51.81007766723633,4.490657329559326
2019-09-10,15.702667236328125,52.422115325927734,4.5573344230651855
2019-09-11,16.47333335876465,54.08888244628906,4.585944652557373
